"","F0056","F0155","H0054","F0130","F0177","H0086"
"8-Hydroxy-5,6-octadienoic acid","20416","21694","20688","22588","23630","23092"
"3'-Methoxyfukiic acid","21495","20527","21066","20128","22825","24999"
"4'-O-Methylkanzonol W","21671","22259","20568","22511","22339","21413"
"Eicosenoic acid","30220","17781","20529","20541","19589","21837"
"(±)-3-Hydroxynonanoic acid","21531","20249","22778","23181","20970","20435"
"(±)-Methamidophos","20415","21795","18070","22364","22654","22951"
"L-Menthone 1,2-glycerol ketal","20945","20786","20873","20645","20908","24032"
"Caftaric acid","21326","18755","14993","25829","26802","20193"
"Pyruvaldehyde","19763","24521","21684","17705","21688","21481"
"L-Malic acid","22425","22033","19322","21856","21122","19821"
"Isoelemicin","20180","19366","21076","20590","22924","21761"
"4-Ethylphenol","21457","20548","19674","20779","21761","20245"
"1-Methylhistidine","22080","21930","19397","18749","21528","20692"
"Glutamylproline","20626","20978","19698","19417","23423","19874"
"(2-Naphthalenyloxy)acetic acid","19689","21346","16343","21619","20423","24116"
"2,6-Dimethyl-naphtalene","20600","22902","18009","15683","22237","23481"
"2-Oxo-8-methylthiooctanoic acid","19595","19660","20780","19966","20255","22283"
"Alpha-CEHC","19462","19806","18868","20263","20971","22153"
"3-Oxodecanoic acid","20638","19860","20495","19928","19206","21347"
"Cephaloglycin","20510","20064","20306","17515","20075","21657"
"7C-aglycone","23178","20144","18709","17089","20279","20685"
"5-Methoxytryptamine","23294","24540","12646","20928","24315","13985"
"2-(4-Methyl-5-thiazolyl)ethyl formate","18701","18953","20278","20057","19168","22093"
"Indole-5,6-quinone","22506","18417","17766","20430","19016","21056"
"4-Coumaryl alcohol","18839","20370","20824","19639","18868","20065"
"Sebacic acid","19000","19265","19186","18012","20451","22258"
"Galactitol","16058","20852","22598","19179","18936","19616"
"Tetracosanoic acid","32330","16028","17834","16337","14938","19593"
"Cucurbic acid","16816","18876","18886","19775","20296","21807"
"LysoPE(0:0/16:0)","44444","13895","13823","13116","14220","15867"
"Methylmalonic acid","17719","20452","20654","19240","18868","18337"
"Otobanone","20164","15574","19577","17788","19568","22108"
"5-Ethyl-3-hydroxy-4-methyl-2(5H)-furanone","19206","19158","17568","19635","19338","19667"
"2-C-Methyl-D-erythritol 4-phosphate","19450","18630","18895","17477","19839","20214"
"Dacarbazine","19521","19106","19008","18364","18386","20112"
"3-(Methylthio)-1-propanol","17898","17431","17731","19060","19212","22913"
"5-Tetradecenoic acid","19437","18312","16932","17827","19670","21366"
"7-Methoxy-6-methyl-2H-1-benzopyran-2-one","18892","19971","17956","17397","19092","19813"
"Pentacosanoic acid","19150","16268","17514","16736","16556","25503"
"Xanthine","21278","20957","15585","16200","19386","17444"
"Bikojic acid","18509","17968","20832","17776","17529","17913"
"Arachidonic acid","18737","17765","17607","17080","17313","21343"
"Cyclohexaneundecanoic acid","17185","17827","17739","18566","15837","21548"
"Lovastatin","17657","19408","17318","15019","19063","20024"
"2-(4-Methoxyphenyl)naphthalic anhydride","18800","18210","18152","16585","18575","17612"
"3-Methyladipic acid","17154","18401","19318","17969","17194","17758"
"1-Methylnaphthalene","17311","19797","17913","12794","18172","21639"
"Pelargonidin 3-O-[b-D-Glucopyranosyl-(1->2)-[4-hydroxycinnamoyl-(->6)]-b-D-glucopyranoside](E-) 5-O-(6-O-malonyl-b-D-glucopyranoside)","12881","18558","16437","19273","19883","20490"
"1-(1-Methoxy-1-methylethyl)-4-methylbenzene"," 6707"," 7886","19492","32066","10720","29787"
"trans-Ferulic acid","17414","18073","18858","16810","16602","18756"
"LysoPE(0:0/15:0)","28838","15725","15418","15335","15647","15324"
"Erinacine G","17751","18053","16946","16777","16904","18631"
"2-Methyl-1-phenyl-2-propanyl acetate","16225","17307","17374","16588","16725","20059"
"Minaprine","23183","16557","14226","15863","15428","18498"
"5-Hydroxy-7-(4-hydroxy-3-methoxyphenyl)-1-phenyl-3-heptanone","16018","17365","17787","17773","17666","17046"
"Linalyl propionate","16584","15527","16884","15325","17481","21510"
"2-Polyprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone","16229","17629","16619","18266","16829","17132"
"Guaifenesin","17216","16940","15951","15264","18294","17332"
"L-beta-aspartyl-L-glutamic acid","12284","12414","40014","11950","12493","11744"
"1-Naphthalenesulfonic acid","15683","17194","13786","19523","15205","19149"
"(+)-cis-5,6-Dihydro-5-hydroxy-4-methoxy-6-(2-phenylethyl)-2H-pyran-2-one","16085","17408","15789","13768","17045","19339"
"Shikimic acid","15457","15969","16339","16411","16266","18898"
"Acetone","16982","16860","17140","13744","17416","17126"
"Cyanuric acid","14979","17200","17792","16057","17336","15579"
"Hydroxyprolyl-Valine","14967","16555","17361","15631","16529","16385"
"Eremopetasinorol","15211","15872","14593","15085","16808","19684"
"Plastoquinone 3"," 7565"," 9684"," 8821","12347"," 7953","50033"
"epothilone D","14680","17840","15568","14228","13512","20187"
"Edetic Acid","17396","16116","14434","14802","17366","15802"
"MG(0:0/22:5(4Z,7Z,10Z,13Z,16Z)/0:0)","15801","18125","14940","12421","15660","18681"
"Avocadyne","16139","15427","14106","15499","14708","19291"
"(S)-Pterosin A","15079","16545","15841","14656","15981","16884"
"2(N)-Methyl-norsalsolinol","14532","16987","16315","15308","15391","16000"
"Capsidiol","14674","14307","15682","14264","14987","20546"
"3,4-Dimethylthiophene","15738","16945","16125","14820","15053","15666"
"6-Phosphogluconic acid","15829","14801","15745","14608","16682","16558"
"Adenine","15179","24104","11189","15566","12379","15413"
"Coprocholic acid","17886","15949","14129","13713","15006","16739"
"Cholesterol sulfate","24963","13533","12179","12517","12822","17372"
"2-Pentadecylfuran","14188","17084","15216","12671","15921","18152"
"PE(20:4(5Z,8Z,11Z,14Z)/P-18:1(11Z))","17378","14780","15157","14658","15575","15635"
"Dimethylbenzyl carbinyl hexanoate","14480","14978","15454","15838","14798","17356"
"(S)-9-Hydroxy-10-undecenoic acid","14971","14890","16386","15210","15197","16000"
"27-Norcholestanehexol","16985","15064","14422","13974","15267","16702"
"1,4-Dihydroxy-2-naphthoate","16385","16481","13860","15375","14133","15574"
"Hesperetin","15525","15310","14619","14296","15744","16175"
"2-(6'-Methylthio)hexylmalic acid","14828","15870","15189","13593","15697","16178"
"1-(5-Acetyl-2-hydroxyphenyl)-3-methyl-1-butanone","14296","13420","14788","15636","17187","16025"
"6-Acetyl-2,2-dimethyl-2H-1-benzopyran","14650","14044","14782","13401","14427","20028"
"Puromycin","14704","16872","15023","11782","15534","17212"
"Naproxen","15142","15122","13877","14425","15836","16059"
"L-Fucose","14568","15557","14981","13785","14926","16162"
"6-Deoxocastasterone","15754","14357","14634","13098","15615","16076"
"Tetradecanedioic acid","13129","14258","14754","14048","13844","19346"
"2-Oxosuberate","15072","15896","14163","14299","15188","14426"
"Methyl dihydrojasmonate","14439","13993","14746","13742","15466","16621"
"3a,16b-Dihydroxyandrostenone","14565","14852","14495","13266","15286","16216"
"3alpha-Hydroxy-3,5-dihydromonacolin L acid","11138","12910","11724","22211","14320","15717"
"Citrinin","15210","14976","11695","16148","13750","15742"
"(2E,11Z)-5-[5-(Methylthio)-4-penten-2-ynyl]-2-furanacrolein","14095","13973","14699","13637","14864","16207"
"PC(15:0/18:4(6Z,9Z,12Z,15Z))","16509","13640","13819","13426","14320","15591"
"Catechin 7-glucoside","15826","14038","13965","12012","14843","16550"
"2-Amino-7,8-dihydro-4-hydroxy-6-(diphosphooxymethyl)pteridine","16103","13014","14658","13039","15260","15058"
"Dodecanedioic acid","14480","12847","14072","14697","13929","16371"
"2,2,4,4,-Tetramethyl-6-(1-oxopropyl)-1,3,5-cyclohexanetrione","14331","16384","12833","12864","13332","16539"
"Ubiquinone-1","15799","14280","12873","13205","13943","15802"
"2-(2-Thienylmethylene)-1,6-dioxaspiro[4.4]non-3-ene","15096","14048","12077","13916","13973","16578"
"12(13)Ep-9-KODE","13575","14388","14091","14260","13853","15446"
"3-Oxododecanoic acid","13107","13606","13842","12953","13060","17978"
"p-Cresol sulfate","13976","13903","13636","14192","14803","13549"
"3,4,5-Trimethoxycinnamic acid","14201","14157","13997","13073","14289","14200"
"Galactonic acid","16858","15986","12322","11639","13880","13172"
"6-Phenyl-3-hexen-2-one","13815","15035","12619","12162","13457","16724"
"2-Methylacetophenone","11495","15187","12536","13011","12883","18638"
"Naphthalene epoxide","13345","15407","13891","11627","13983","15190"
"Aesculetin","14272","13893","14192","13038","14204","13817"
"2-Aminomuconic acid semialdehyde","14909","13037","12942","13541","14853","13759"
"3-Methylcrotonyl-CoA","14527","13377","13564","12670","13221","15649"
"Propyl propane thiosulfonate","13292","13634","14041","12881","13452","15566"
"(7R)-7-(4-Carboxybutanamido)cephalosporanate","12289","14625","12268","13320","14646","15256"
"5,10-Methenyltetrahydrofolic acid","14770","14174","12931","12176","13185","14996"
"4-Heptenal diethyl acetal","13366","13500","13383","12773","13122","15971"
"12-Ketodeoxycholic acid","37327","10029"," 5667"," 8334","11630"," 8892"
"Polyethylene, oxidized","15578","13010","12091","12783","13704","14704"
"Lactapiperanol C","12239","13354","13271","12292","12873","17784"
"1,11-Undecanedicarboxylic acid","12560","14233","12824","13255","12811","16069"
"Proflavine","14850","13095","12421","12827","14462","14062"
"Inositol cyclic phosphate","12963","13634","13179","13227","14038","14572"
"3-Hydroxysebacic acid","14556","13006","11554","12904","14190","15142"
"3-Hydroxy-5-methylhex-4-enoyl-CoA","13604","12835","13235","13321","12807","14513"
"Digoxin","13040","13161","13842","12604","13403","14220"
"4',7-Di-O-methylcatechin","13691","13295","12755","11768","13649","14251"
"cis-(Homo)3-aconitate","13792","12397","12167","13552","12868","14364"
"D-Glucuronic acid","14279","11998","11381","10796","14230","16359"
"Eugenitin","12942","13449","12319","12504","13634","14063"
"Glutaconic acid","13452","13737","12329","12796","12781","13378"
"Methyl 2-octynoate","13093","12701","13698","12732","12336","13562"
"Monoethyl malonic acid","16148","13679","13608","10184","12767","11643"
"p-Anisidine","12089","13078","12066","12638","12934","15065"
"Pyroglutamic acid","13044"," 9227"," 8099","11276"," 9090","26719"
"3-Hydroxycapric acid","12278","12303","14774","11628","12583","13667"
"3-Hexenedioic acid","12953","14109","12176","13640","12178","12081"
"Gamma-Tocotrienol","13005","12662","12758","12625","13140","12946"
"2-Octenoic acid","13088","13831","12980","13062","12006","12124"
"Leukotriene A4","11636","12963","12508","11378","13049","15296"
"Zymonic acid","14441","10924","15161","11938","11927","12405"
"Cyclovariegatin","11870","12815","12093","13443","12382","13959"
"Cyclotetradecane","12879","12572","12825","11927","12831","13393"
"4-Methylthiobutylthiohydroximate","11782","12961","13026","11731","13279","12655"
"Homophytanic acid","13042"," 9719"," 9829","10529"," 9895","22223"
"Vanillylmandelic acid","12891","12662","11957","12649","11862","13170"
"Lupiwighteone hydrate 7-glucoside","13113","12442","11493","10840","12379","14630"
"Phlorin","13483","12125","11754","11395","12922","13164"
"15-Keto-13,14-dihydroprostaglandin A2","11469","12941","12414","12314","12279","13234"
"16-Dehydroprogesterone","10717","11620","10272","17304","11578","13131"
"1,2,3,4-Tetrahydro-beta-carboline","13122","11894","11830","11677","12750","13308"
"5-Hexyltetrahydro-2-oxo-3-furancarboxylic acid","12017","11999","13879","12356","11446","12667"
"Hexacosanoic acid","13852","11881","12536","12000","10664","13428"
"5-Methoxycanthin-6-one","12325","12085"," 8763","12468","11576","16926"
"Eicosadienoic acid","13828","13029","11783","10269","11414","13436"
"4-Pyridoxic acid","10755","32475"," 6231","10920"," 6426"," 6617"
"(R)-Pterosin B","10133"," 8491"," 8337"," 8574"," 8799","29057"
"Delta-Hexanolactone","12146","10654","11832","12293","13228","12759"
"2,2,7,7-Tetramethyl-1,6-dioxaspiro[4.4]nona-3,8-diene","11261","12481","11153","11595","12799","13335"
"Miltirone","11951","10703","11929","11321","10772","15868"
"Ciliatine","10014","15010"," 9569","12527","12541","12829"
"(E)-2-Tridecene-4,6,8-triyn-1-ol","12160","13565","11359","10532","11969","12868"
"(Z)-3-(1-Formyl-1-propenyl)pentanedioic acid","11253","11892","12854","11784","12012","12527"
"12-Oxo-2,3-dinor-10,15-phytodienoic acid","10480","12578","11461","11521","11228","14838"
"Deoxyuridine","11977","11364","10282","13103","12695","12621"
"Undecanedioic acid","12262","12205","12067","11147","11290","13048"
"Saccharin","12161","10288","18632","10919"," 9585","10123"
