Query,Match,HMDB,PubChem,KEGG,SMILES,Comment,Pathway
2-Ketobutyric acid,2-Ketobutyric acid,HMDB0000005,58,C00109,CCC(=O)C(=O)O,1,Propanoate metabolism
2-Hydroxybutyric acid,2-Hydroxybutyric acid,HMDB0000008,11266,C05984,CCC(C(=O)O)O,1,Propanoate metabolism
Propionic acid,Propionic acid,HMDB0000237,1032,C00163,CCC(=O)O,1,Propanoate metabolism
Propyl 1-(propylsulfinyl)propyl disulfide,Propyl 1-(propylsulfinyl)propyl disulfide,HMDB0033071,85752107,NA,CCCSSC(CC)S(=O)CCC,1,
S-Propyl 1-propanesulfinothioate,S-Propyl 1-propanesulfinothioate,HMDB0034394,74761,NA,CCCSS(=O)CCC,1,
Stearic acid,Stearic acid,HMDB0000827,5281,C01530,CCCCCCCCCCCCCCCCCC(=O)O,1,
Palmitic acid,Palmitic acid,HMDB0000220,985,C00249,CCCCCCCCCCCCCCCC(=O)O,1,
Tartaric acid,Tartaric acid,HMDB0000956,444305,C00898,O[C@H]([C@@H](O)C(O)=O)C(O)=O,1,
Porson,Porson,HMDB0030810,131751083,NA,COC1=C2C=C(CC(O)C(=O)CCCCC3=CC2=C(OC)C(OC)=C3O)C=C1,1,
Sedoheptulose,Sedoheptulose,HMDB0003219,439645,C08355,C(C(C(C(C(C(=O)CO)O)O)O)O)O,1,
"4-(1,1,3,3-Tetramethylbutyl)-phenol","4-(1,1,3,3-Tetramethylbutyl)-phenol",HMDB0013825,0,C14205,CC(C)(C)CC(C)(C)C1=CC=C(O)C=C1,1,
Methanesulfonic acid,Methanesulfonic acid,HMDB0240280,6395,C11145,CS(O)(=O)=O,1,
4-Hydroxystyrene,4-Hydroxystyrene,HMDB0004072,62453,C05627,C=CC1=CC=C(C=C1)O,1,
p-Toluenesulfonic acid,p-Toluenesulfonic acid,HMDB0059933,6101,C06677,CC1=CC=C(C=C1)S(O)(=O)=O,1,
Rosinidin,Rosinidin,NA,441777,C08729,COc1cc(O)c2cc(O)c(-c3ccc(O)c(OC)c3)c2c1,1,
Peonidin-3-glucoside,Peonidin-3-glucoside,HMDB0013689,443654,C12141,COC1=C(C=CC(=C1)C2=C(C=C3C(=CC(=CC3=[O+]2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,1,
"2,8-Dihydroxyadenine","2,8-Dihydroxyadenine",HMDB0000401,92268,NA,C12=C(NC(=O)N=C1NC(=O)N2)N,1,
5'-Butyrylphosphoinosine,5'-Butyrylphosphoinosine,METPA0822,NA,C06435,NA,1,
2-Methylglutaric acid,2-Methylglutaric acid,HMDB0000422,12046,NA,CC(CCC(=O)O)C(=O)O,1,
Fumonisin B2,Fumonisin B2,HMDB0034703,3432,C19242,CCCCC(C)C(C(CC(C)CCCCCCC(CC(C(C)N)O)O)OC(=O)CC(CC(=O)O)C(=O)O)OC(=O)CC(CC(=O)O)C(=O)O,1,
Sabadelin,Sabadelin,HMDB0034033,131751513,NA,CCCCCCCCCCCCCCC1OC1CC\C=C/CCCCCCCCCCC1=CC(C)OC1=O,1,
Naphthalene,Naphthalene,HMDB0029751,931,C00829,C1=CC=C2C=CC=CC2=C1,1,
Gamma-Butyrolactone,Gamma-Butyrolactone,HMDB0000549,7302,C01770,C1CC(=O)OC1,1,
Uridine 5'-monophosphate,Uridine 5'-monophosphate,HMDB0000288,6030,C00105,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O,1,
Cinnamyl acetate,Cinnamyl acetate,HMDB0029699,5315912,C12299,CC(=O)OC/C=C\C1=CC=CC=C1,1,
Nicotinamide ribotide,Nicotinamide ribotide,HMDB0000229,14180,C00455,C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)[O-])O)O)C(=O)N,1,
Myristic acid,Myristic acid,HMDB0000806,11005,C06424,CCCCCCCCCCCCCC(=O)O,1,
2-Furanmethanol,2-Furanmethanol,HMDB0013742,7361,C20441,C1=COC(=C1)CO,1,
"4-[2,2'-Bithiophen-5-yl]-3-butyn-1-ol","4-[2,2'-Bithiophen-5-yl]-3-butyn-1-ol",HMDB0034453,440357,C04486,C1=CSC(=C1)C2=CC=C(S2)C#CCCO,1,
Thymidine,Thymidine,HMDB0000273,5789,C00214,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)O,1,
Acetic acid,Acetic acid,HMDB0000042,176,C00033,CC(=O)O,1,
Milrinone,Milrinone,HMDB0014380,4197,C07224,CC1=C(C=C(C(=O)N1)C#N)C2=CC=NC=C2,1,
De-O-methylsterigmatocystin,De-O-methylsterigmatocystin,HMDB0033657,5486185,C03683,C1=CC2=C(C(=C1)O)C(=O)C3=C(C=C4C(=C3O2)C5C=COC5O4)O,1,
Ethanethioic acid,Ethanethioic acid,HMDB0031188,10484,C01857,CC(S)=O,1,
Monobenzone,Monobenzone,HMDB0014738,7638,C14244,C1=CC=C(C=C1)COC2=CC=C(C=C2)O,1,
Uric acid,Uric acid,HMDB0000289,1175,C00366,C12=C(NC(=O)N1)NC(=O)NC2=O,1,
2-Dodecylbenzenesulfonic acid,2-Dodecylbenzenesulfonic acid,HMDB0031031,25457,NA,CCCCCCCCCCCCC1=CC=CC=C1S(=O)(=O)O,1,
Phenol,Phenol,HMDB0000228,996,C15584,C1=CC=C(C=C1)O,1,
Alpha-ketoisovaleric acid,Alpha-ketoisovaleric acid,HMDB0000019,49,C00141,CC(C)C(=O)C(=O)O,1,
N-Undecylbenzenesulfonic acid,N-Undecylbenzenesulfonic acid,HMDB0032549,38222,NA,CCCCCCCCCCCC1=CC=C(C=C1)S(=O)(=O)O,1,
Guanosine diphosphate mannose,Guanosine diphosphate mannose,HMDB0001163,18396,C00096,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O[C@@H]4[C@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)NC(=NC2=O)N,1,
Uridine,Uridine,HMDB0000296,6029,C00299,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,1,
(4-Methylphenyl)acetaldehyde,(4-Methylphenyl)acetaldehyde,HMDB0029639,61006,NA,CC1=CC=C(C=C1)CC=O,1,
Epoxyeremopetasinorol,Epoxyeremopetasinorol,HMDB0029670,131750893,NA,CC1C(O)CCC2CC3(OC3C12C)C(C)=O,1,
Oenanthic ether,Oenanthic ether,HMDB0000798,7797,NA,CCCCCCC(=O)OCC,1,
Ethyl trans-p-methoxycinnamate,Ethyl trans-p-methoxycinnamate,HMDB0030762,5281783,C10476,CCOC(=O)/C=C/C1=CC=C(C=C1)OC,1,
Heptadecanoic acid,Heptadecanoic acid,HMDB0002259,10465,NA,CCCCCCCCCCCCCCCCC(=O)O,1,
3-Oxooctadecanoic acid,3-Oxooctadecanoic acid,HMDB0010736,5283005,NA,CCCCCCCCCCCCCCCC(=O)CC(=O)O,1,
Pyridoxal,Pyridoxal,HMDB0001545,1050,C00250,CC1=NC=C(C(=C1O)C=O)CO,1,
"3D,7D,11D-Phytanic acid","3D,7D,11D-Phytanic acid",HMDB0000417,10380830,NA,C[C@H](CCC[C@H](C)CCCC(C)C)CCC[C@@H](C)CC(=O)O,1,
Heptyl 4-hydroxybenzoate,Heptyl 4-hydroxybenzoate,HMDB0034462,14138,C14718,CCCCCCCOC(=O)C1=CC=C(C=C1)O,1,
2-Thiophenecarboxaldehyde,2-Thiophenecarboxaldehyde,HMDB0029717,7364,NA,C1=CSC(=C1)C=O,1,
"Galactose-beta-1,4-xylose","Galactose-beta-1,4-xylose",HMDB0011677,53481024,NA,C1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O,1,
Pentadecanoic acid,Pentadecanoic acid,HMDB0000826,13849,C16537,CCCCCCCCCCCCCCC(=O)O,1,
Capric acid,Capric acid,HMDB0000511,2969,C01571,CCCCCCCCCC(=O)O,1,
Dodecanoic acid,Dodecanoic acid,HMDB0000638,3893,C02679,CCCCCCCCCCCC(=O)O,1,
Linoleic acid,Linoleic acid,HMDB0000673,5280450,C01595,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,1,
Methylphosphonate,Methylphosphonate,NA,163312134,C20396,NA,1,
2-Amino-5-phenylpyridine,2-Amino-5-phenylpyridine,HMDB0029747,105097,NA,C1=CC=C(C=C1)C2=CN=C(C=C2)N,1,
Trigoforin,Trigoforin,HMDB0029495,12267346,NA,CC1=CC2=C(C=C1)C(=C(C(=O)O2)C)C,1,
Alpha-Linolenic acid,Alpha-Linolenic acid,HMDB0001388,5280934,C06427,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,1,
Arginyl-Glutamine,Arginyl-Glutamine,HMDB0028707,9857557,NA,NC(CCCNC(N)=N)C(=O)NC(CCC(N)=O)C(O)=O,1,
Sodium Tetradecyl Sulfate,Sodium Tetradecyl Sulfate,HMDB0014607,5248,NA,CCCCCCCCCCCCCCOS(=O)(=O)O,1,
Osmundalactone,Osmundalactone,HMDB0031303,12374456,NA,CC1OC(=O)C=CC1O,1,
Aciclovir,Aciclovir,HMDB0014925,2022,C06810,C1=NC2=C(N1COCCO)NC(=NC2=O)N,1,
Methyl methanethiosulfonate,Methyl methanethiosulfonate,HMDB0031832,18064,NA,CSS(=O)(=O)C,1,
p-Hydroxyphenylacetic acid,p-Hydroxyphenylacetic acid,HMDB0000020,127,C00642,C1=CC(=CC=C1CC(=O)O)O,1,
Benzoic acid,Benzoic acid,HMDB0001870,243,C00539,C1=CC=C(C=C1)C(=O)O,1,
3-Propylidene-1(3H)-isobenzofuranone,3-Propylidene-1(3H)-isobenzofuranone,HMDB0031845,6259976,NA,CC/C=C/1\C2=CC=CC=C2C(=O)O1,1,
Caprylic acid,Caprylic acid,HMDB0000482,379,C06423,CCCCCCCC(=O)O,1,
Ethyl beta-D-glucopyranoside,Ethyl beta-D-glucopyranoside,HMDB0029968,428040,NA,CCOC1C(C(C(C(O1)CO)O)O)O,1,
(Z)-[3-(Methylsulfinyl)-1-propenyl] 2-propenyl disulfide,(Z)-[3-(Methylsulfinyl)-1-propenyl] 2-propenyl disulfide,HMDB0032653,20216911,NA,CS(=O)C/C=C/SSCC=C,1,
9-Oxononanoic acid,9-Oxononanoic acid,METPA1279,NA,C16322,NA,1,
trans-trans-Muconic acid,trans-trans-Muconic acid,HMDB0002349,5356793,C02480,C(=C/C(=O)O)\C=C\C(=O)O,1,
Cytidine,Cytidine,HMDB0000089,6253,C00475,C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,1,
Chymopapain,Chymopapain,HMDB0029845,9001,C11159,C1=C(C=C(C(=C1S(=O)(=O)[O-])O)O)S(=O)(=O)[O-].[Na+].[Na+],1,
2-Propene-1-thiol,2-Propene-1-thiol,HMDB0031635,13367,NA,C=CCS,1,
Pyrocatechol,Pyrocatechol,HMDB0000957,3390,C15571,C1=CC=C(C(=C1)O)O,1,
Cysteic acid,Cysteic acid,HMDB0002757,25701,C00506,C(C(C(=O)O)N)S(=O)(=O)O,1,
2-Vinylthiophene,2-Vinylthiophene,HMDB0029726,519642,NA,C=CC1=CC=CS1,1,
D-1-Piperideine-2-carboxylic acid,D-1-Piperideine-2-carboxylic acid,HMDB0001084,1194,C04092,C1CCN=C(C1)C(=O)O,1,
"8,11,14-Eicosatrienoic acid","8,11,14-Eicosatrienoic acid",HMDB0002925,5280581,C03242,CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)O,1,
"dTDP-3,4-dioxo-2,6-dideoxy-D-glucose","dTDP-3,4-dioxo-2,6-dideoxy-D-glucose",NA,8846,C06620,NA,1,
Phenyl hydrogen sulfate,Phenyl hydrogen sulfate,HMDB0060015,74426,C02180,OS(=O)(=O)OC1=CC=CC=C1,1,
Urocanic acid,Urocanic acid,HMDB0000301,736715,C00785,C1=C(NC=N1)/C=C/C(=O)O,1,
Methylpyrazine,Methylpyrazine,HMDB0033112,7976,NA,CC1=NC=CN=C1,1,
Peroxynitrite,Peroxynitrite,HMDB0002179,123349,C16845,N(=O)O[O-],1,
(R)-3-Hydroxy-Octadecanoic acid,(R)-3-Hydroxy-Octadecanoic acid,HMDB0010737,5312838,NA,CCCCCCCCCCCCCCC[C@H](CC(=O)O)O,1,
5-Methyl-2-thiophenecarboxaldehyde,5-Methyl-2-thiophenecarboxaldehyde,HMDB0032431,61663,NA,CC1=CC=C(S1)C=O,1,
Dimethylallylpyrophosphate,Dimethylallylpyrophosphate,HMDB0001120,647,C00235,CC(=CCOP(=O)(O)OP(=O)(O)O)C,1,
Cytidine monophosphate,Cytidine monophosphate,HMDB0000095,8117,C00055,C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O,1,
Patulin,Patulin,HMDB0034299,4696,C16748,C1C=C2C(=CC(=O)O2)C(O1)O,1,
Azelaic acid,Azelaic acid,HMDB0000784,2266,C08261,C(CCCC(=O)O)CCCC(=O)O,1,
N-Heptanoylglycine,N-Heptanoylglycine,HMDB0013010,10932172,NA,CCCCCCC(=O)NCC(=O)O,1,
"cis-1,2-Dihydronaphthalene-1,2-diol","cis-1,2-Dihydronaphthalene-1,2-diol",METPA0485,NA,C04314,NA,1,
Citramalic acid,Citramalic acid,HMDB0000426,441696,C00815,CC(CC(=O)O)(C(=O)O)O,1,
"1,2,3-Trihydroxybenzene","1,2,3-Trihydroxybenzene",HMDB0013674,3446,C01108,C1=CC(=C(C(=C1)O)O)O,1,
Gentisic acid,Gentisic acid,HMDB0000152,3469,C00628,C1=CC(=C(C=C1O)C(=O)O)O,1,
13-OxoODE,13-OxoODE,HMDB0004668,6446027,C14765,CCCCCC(=O)/C=C/C=C\CCCCCCCC(=O)O,1,
L-Urobilin,L-Urobilin,HMDB0004159,5280818,C05793,CCC1C(C(=O)NC1CC2=N/C(=C/C3=C(C(=C(N3)CC4C(C(C(=O)N4)CC)C)C)CCC(=O)O)/C(=C2C)CCC(=O)O)C,1,
3-Furoic acid,3-Furoic acid,HMDB0000444,10268,NA,C1=COC=C1C(=O)O,1,
"2,3-Diphosphoglyceric acid","2,3-Diphosphoglyceric acid",HMDB0001294,186004,C01159,C([C@H](C(=O)O)OP(=O)(O)O)OP(=O)(O)O,1,
"Thiobenzamide S,S-dioxide","Thiobenzamide S,S-dioxide",NA,47205593,C16285,NA,1,
Urolithin A,Urolithin A,HMDB0013695,5488186,NA,C1=CC2=C(C=C1O)C(=O)OC3=C2C=CC(=C3)O,1,
3-Dehydroshikimate,3-Dehydroshikimate,METPA0312,NA,C02637,NA,1,
4-Methylcatechol,4-Methylcatechol,HMDB0000873,9958,C06730,CC1=CC(=C(C=C1)O)O,1,
Methyl thiophene-2-carboxylate,Methyl thiophene-2-carboxylate,HMDB0029719,79340,NA,COC(=O)C1=CC=CS1,1,
MG(0:0/15:0/0:0),MG(0:0/15:0/0:0),HMDB0011532,537297,NA,CCCCCCCCCCCCCCC(=O)OC(CO)CO,1,
Uridine diphosphate-N-acetylglucosamine,Uridine diphosphate-N-acetylglucosamine,HMDB0000290,9547196,C00043,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O)CO)O)O,1,
Uridine 5'-diphosphate,Uridine 5'-diphosphate,HMDB0000295,6031,C00015,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O)O)O,1,
Hypogeic acid,Hypogeic acid,HMDB0002186,5318393,NA,CCCCCCCC/C=C\CCCCCC(=O)O,1,
"3a,7a,12b-Trihydroxy-5b-cholanoic acid","3a,7a,12b-Trihydroxy-5b-cholanoic acid",HMDB0000312,5283869,C04661,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,1,
Phthalic acid,Phthalic acid,HMDB0002107,1017,C01606,C1=CC=C(C(=C1)C(=O)O)C(=O)O,1,
"3,4-Dihydroxyphthalate","3,4-Dihydroxyphthalate",NA,6095,C03223,NA,1,
(R)-3-Hydroxy-5-phenylpentanoic acid,(R)-3-Hydroxy-5-phenylpentanoic acid,HMDB0031517,11106233,NA,C1=CC=C(C=C1)CCC(CC(=O)O)O,1,
N-Undecanoylglycine,N-Undecanoylglycine,HMDB0013286,454092,NA,CCCCCCCCCCC(=O)NCC(=O)O,1,
13S-hydroxyoctadecadienoic acid,13S-hydroxyoctadecadienoic acid,HMDB0004667,6443013,C14762,CCCCC[C@@H](/C=C/C=C\CCCCCCCC(=O)O)O,1,
4-Sulfobenzoate,4-Sulfobenzoate,NA,5300,C02236,NA,1,
L-Urobilinogen,L-Urobilinogen,HMDB0004157,9548718,C05789,CCC1C(C(=O)NC1CC2=C(C(=C(N2)CC3=C(C(=C(N3)CC4C(C(C(=O)N4)CC)C)C)CCC(=O)O)CCC(=O)O)C)C,1,
Feruloyl-CoA,Feruloyl-CoA,METPA0038,NA,C00406,NA,1,
Caproic acid,Caproic acid,HMDB0000535,8892,C01585,CCCCCC(=O)O,1,
7-Deoxyloganetin,7-Deoxyloganetin,NA,254741257,C20790,NA,1,
Malabaricone C,Malabaricone C,HMDB0005798,100313,NA,C1=CC(=C(C(=C1)O)C(=O)CCCCCCCCC2=CC(=C(C=C2)O)O)O,1,
Isovaleric acid,Isovaleric acid,HMDB0000718,10430,C08262,CC(C)CC(=O)O,1,
Cuminaldehyde,Cuminaldehyde,HMDB0002214,326,C06577,CC(C)C1=CC=C(C=C1)C=O,1,
Bakkenolide D,Bakkenolide D,HMDB0034998,12299953,NA,CS\C=C\C(=O)OC1CCC(C)C2(C)CC3(C(OC(C)=O)C12)C(=C)COC3=O,1,
Glyceryl lactopalmitate,Glyceryl lactopalmitate,HMDB0032299,665493,NA,COC1=C(C(=CC=C1)OC)C2=NN3C(=NN=C3S2)C4=CC(=NN4)C5=CC=CC=C5,1,
p-Cresol,p-Cresol,HMDB0001858,2879,C01468,CC1=CC=C(C=C1)O,1,
Toluene,Toluene,HMDB0034168,1140,C01455,CC1=CC=CC=C1,1,
Homovanillic acid,Homovanillic acid,HMDB0000118,1738,C05582,COC1=C(C=CC(=C1)CC(=O)O)O,1,
Valerenic acid,Valerenic acid,HMDB0030016,6042891,C09743,CC1CCC(C2=C(CCC12)C)/C=C(\C)/C(=O)O,1,
"2-Hydroxy-6-oxonona-2,4-diene-1,9-dioate","2-Hydroxy-6-oxonona-2,4-diene-1,9-dioate",METPA0501,NA,C04479,NA,1,
"2,4,6-Trimethyl-1,3,5-trithiane","2,4,6-Trimethyl-1,3,5-trithiane",HMDB0031671,17696,NA,CC1SC(SC(S1)C)C,1,
"3b,12a-Dihydroxy-5a-cholanoic acid","3b,12a-Dihydroxy-5a-cholanoic acid",HMDB0000348,5283835,NA,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC[C@@H](C4)O)C)O)C,1,
Benzoquinoneacetic acid,Benzoquinoneacetic acid,HMDB0002334,21252288,NA,C1=CC(=O)C(=CC1=O)CC(=O)O,1,
Nonadecanoic acid,Nonadecanoic acid,HMDB0000772,12591,C16535,CCCCCCCCCCCCCCCCCCC(=O)O,1,
5-Phenylvaleric acid,5-Phenylvaleric acid,HMDB0002043,16757,NA,C1=CC=C(C=C1)CCCCC(=O)O,1,
9-Pentadecenoic acid,9-Pentadecenoic acid,HMDB0029765,6365140,NA,CCCCC/C=C/CCCCCCCC(=O)O,1,
"3a,20b-Pregnanediol","3a,20b-Pregnanediol",HMDB0002156,120059,NA,C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4[C@@]3(CC[C@H](C4)O)C)C)O,1,
Trichocarposide,Trichocarposide,HMDB0031723,131751185,NA,OCC1=CC=CC=C1OC1OC(COC(=O)\C=C\C2=CC=C(O)C=C2)C(O)C(O)C1O,1,
"4'-Hydroxy-5,7-dimethoxyflavan","4'-Hydroxy-5,7-dimethoxyflavan",HMDB0030152,14137568,NA,COC1=CC(=C2CCC(OC2=C1)C3=CC=C(C=C3)O)OC,1,
Glycerol triundecanoate,Glycerol triundecanoate,HMDB0031089,83574,NA,CCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCC)OC(=O)CCCCCCCCCC,1,
"2-Isopropyl-1,4-benzenediol","2-Isopropyl-1,4-benzenediol",HMDB0032132,75370,NA,CC(C)C1=C(C=CC(=C1)O)O,1,
2-Octenedioic acid,2-Octenedioic acid,HMDB0000341,6079438,NA,C(CCC(=O)O)C/C=C/C(=O)O,1,
Pranlukast,Pranlukast,HMDB0015481,115100,NA,C1=CC=C(C=C1)CCCCOC2=CC=C(C=C2)C(=O)NC3=CC4=C(C=C3)C(=O)C=C(O4)C5=NNN=N5,1,
Metyrapone,Metyrapone,HMDB0015146,4174,C07205,CC(C)(C1=CN=CC=C1)C(=O)C2=CN=CC=C2,1,
Norepinephrine,Norepinephrine,HMDB0000216,439260,C00547,C1=CC(=C(C=C1[C@H](CN)O)O)O,1,
7-Sulfocholic acid,7-Sulfocholic acid,HMDB0002421,459070,NA,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)OS(=O)(=O)O)O)C,1,
Nootkatol,Nootkatol,HMDB0013688,182645,C17915,C[C@@H]1C[C@@H](C=C2[C@]1(C[C@@H](CC2)C(=C)C)C)O,1,
Dioctyltin isooctylthioglycolate,Dioctyltin isooctylthioglycolate,HMDB0031615,15978303,NA,CCCCCCCC[Sn+2]CCCCCCCC.CCCCC(CC)COC(=O)C[S-].CCCCC(CC)COC(=O)C[S-],1,
3-Oxohexadecanoic acid,3-Oxohexadecanoic acid,HMDB0010733,5282997,NA,CCCCCCCCCCCCCC(=O)CC(=O)O,1,
Senecioic acid,Senecioic acid,HMDB0000509,10931,NA,CC(=CC(=O)O)C,1,
Behenic acid,Behenic acid,HMDB0000944,8215,C08281,CCCCCCCCCCCCCCCCCCCCCC(=O)O,1,
Medroxyprogesterone,Medroxyprogesterone,HMDB0001939,6279,C07119,C[C@H]1C[C@@H]2[C@H](CC[C@]3([C@H]2CC[C@@]3(C(=O)C)O)C)[C@@]4(C1=CC(=O)CC4)C,1,
Allicin,Allicin,HMDB0033963,65036,C07600,C=CCSS(=O)CC=C,1,
Glutathionylspermine,Glutathionylspermine,METPA1343,NA,C16562,NA,1,
Mammeigin,Mammeigin,HMDB0030785,5319255,NA,CC(C)CC(=O)C1=C(C2=C(C3=C1OC(C=C3)(C)C)OC(=O)C=C2C4=CC=CC=C4)O,1,
DL-Homocystine,DL-Homocystine,HMDB0000575,10010,C01817,C(CSSCCC(C(=O)O)N)C(C(=O)O)N,1,
3-Hydroxyisoheptanoic acid,3-Hydroxyisoheptanoic acid,HMDB0002207,193804,NA,CC(C)CC(CC(=O)O)O,1,
Tridecanoic acid,Tridecanoic acid,HMDB0000910,656741,C17076,CCCCCCCCCCCCC(=O)O,1,
cis-4-Hydroxycyclohexylacetic acid,cis-4-Hydroxycyclohexylacetic acid,HMDB0000451,12702257,NA,C1CC(CCC1CC(=O)O)O,1,
3-Methyl-4-phenyl-3-buten-2-one,3-Methyl-4-phenyl-3-buten-2-one,HMDB0031567,5355902,NA,C/C(=C/C1=CC=CC=C1)/C(=O)C,1,
5-(2-Methylpropyl)tetrahydro-2-oxo-3-furancarboxylic acid,5-(2-Methylpropyl)tetrahydro-2-oxo-3-furancarboxylic acid,HMDB0030988,131751114,NA,CC(C)CC1CC(C(O)=O)C(=O)O1,1,
Eicosapentaenoic acid,Eicosapentaenoic acid,HMDB0001999,446284,C06428,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,1,
Phenylpyruvic acid,Phenylpyruvic acid,HMDB0000205,997,C00166,C1=CC=C(C=C1)CC(=O)C(=O)O,1,
Oxalureate,Oxalureate,METPA0081,NA,C00802,NA,1,
Delphinidin 3-O-(6''-O-malonyl)-beta-glucoside-3'-O-beta-glucoside,Delphinidin 3-O-(6''-O-malonyl)-beta-glucoside-3'-O-beta-glucoside,NA,47205612,C16304,NA,1,
Allolithocholic acid,Allolithocholic acid,HMDB0000381,53477689,NA,C[C@@H](CCC(=O)O)C1CCC2[C@@]1(CCC3C2CCC4[C@@]3(CC[C@H](C4)O)C)C,1,
"(S)-3,4-Dihydroxybutyric acid","(S)-3,4-Dihydroxybutyric acid",HMDB0000337,150929,NA,C(C(CO)O)C(=O)O,1,
CDP,CDP,HMDB0001546,6132,C00112,C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O)O)O,1,
Rishitin,Rishitin,HMDB0035593,534260,C09715,CC1C(C(CC2=C1CC(CC2)C(=C)C)O)O,1,
Monoisobutyl phthalic acid,Monoisobutyl phthalic acid,HMDB0002056,92272,NA,CC(C)COC(=O)C1=CC=CC=C1C(=O)O,1,
Ethyl hydrogen sulfate,Ethyl hydrogen sulfate,HMDB0031233,6004,NA,CCOS(=O)(=O)O,1,
