response	Responder	Responder	Responder	Responder	Responder	Responder	Nonresponder	Nonresponder	Nonresponder	Nonresponder	Nonresponder	Nonresponder
Genetic_Information_Processing__Folding_Sorting_and_Degradation__Protein_processing_in_endoplasmic_reticulum	0.05070119	0.04811465	0.05410895	0.06201727	0.04981863	0.05082845	0.05599543	0.05552509	0.04497151	0.05919098	0.04933017	0.05841224
Genetic_Information_Processing__Folding_Sorting_and_Degradation__RNA_degradation	0.4312929	0.4308239	0.4269469	0.4467322	0.4667520	0.4263135	0.4423500	0.4379369	0.4339012	0.4316792	0.4975744	0.4545116
Genetic_Information_Processing__Folding_Sorting_and_Degradation__Sulfur_relay_system	0.2863274	0.2664935	0.2399493	0.2504943	0.2176131	0.2823803	0.2727929	0.2603025	0.2766394	0.2996645	0.1795673	0.2878527
Genetic_Information_Processing__Folding_Sorting_and_Degradation__Ubiquitin_system	0.0011935091	0.0012649645	0.0008563007	0.0039497034	0.0002518405	0.0001613601	0.0018942347	0.0023173695	0.0015929335	0.0041037226	0.0002284862	0.0031505812
Genetic_Information_Processing__Replication_and_Repair__Base_excision_repair	0.4387982	0.4422316	0.4517333	0.4301019	0.4678510	0.4377931	0.4436667	0.4864870	0.4441514	0.4289433	0.4971860	0.4335154
Genetic_Information_Processing__Replication_and_Repair__Chromosome	1.569258	1.558344	1.544165	1.539992	1.491766	1.534235	1.604717	1.584989	1.545815	1.491831	1.430072	1.637773
Genetic_Information_Processing__Replication_and_Repair__DNA_repair_and_recombination_proteins	2.846359	2.785797	2.834170	2.763407	2.831855	2.780581	2.869373	2.843045	2.731465	2.780307	2.858248	2.877079
Genetic_Information_Processing__Replication_and_Repair__DNA_replication	0.6618926	0.6330113	0.6421330	0.6265708	0.6807249	0.6205911	0.6487061	0.6817426	0.6224676	0.6621600	0.7341718	0.6477089
Genetic_Information_Processing__Replication_and_Repair__DNA_replication_proteins	1.256306	1.203119	1.267927	1.195952	1.214260	1.150959	1.264309	1.246424	1.168428	1.243358	1.243422	1.322071
Genetic_Information_Processing__Replication_and_Repair__Homologous_recombination	0.9407836	0.9290819	0.9132794	0.9122429	0.9473095	0.9036629	0.9550408	0.9350471	0.8997766	0.8922930	0.9608530	0.9612722
Genetic_Information_Processing__Replication_and_Repair__Mismatch_repair	0.8389451	0.8175581	0.7989517	0.7959230	0.8124832	0.8018216	0.8383144	0.8378323	0.7971131	0.8400807	0.8144162	0.8150577
Genetic_Information_Processing__Replication_and_Repair__Non_homologous_end_joining	0.003419863	0.003978888	0.007428987	0.002309768	0.005998383	0.014983442	0.003857771	0.004015244	0.001939223	0.002759000	0.002102073	0.004185444
Genetic_Information_Processing__Replication_and_Repair__Nucleotide_excision_repair	0.3965664	0.3800643	0.3663347	0.3860777	0.3674124	0.3987440	0.3961261	0.3835132	0.3863903	0.4066627	0.3719070	0.3919599
Genetic_Information_Processing__Transcription__Basal_transcription_factors	1.606647e-03	0.000000e+00	1.110877e-03	6.467351e-04	0.000000e+00	1.152572e-04	2.333143e-03	1.009547e-03	0.000000e+00	6.955462e-05	2.284862e-05	1.333823e-03
Genetic_Information_Processing__Transcription__RNA_polymerase	0.1674356	0.1614555	0.1650577	0.1610832	0.1766089	0.1735083	0.1611948	0.1672636	0.1658959	0.1595583	0.1849824	0.1540565
Genetic_Information_Processing__Transcription__Transcription_factors	2.031031	1.940571	2.028345	1.828851	2.002430	2.032654	1.893241	1.813973	1.950489	1.902435	1.994730	1.882231
Genetic_Information_Processing__Transcription__Transcription_machinery	1.0060594	1.0309921	1.0380679	1.0662582	0.9477445	0.9498119	1.0847728	0.9287604	0.9239476	1.0643016	0.8878060	1.1695785
Genetic_Information_Processing__Translation__Aminoacyl_tRNA_biosynthesis	1.188322	1.241206	1.185004	1.191794	1.251762	1.221312	1.223422	1.271548	1.233969	1.120734	1.285715	1.194898
Genetic_Information_Processing__Translation__RNA_transport	0.1408341	0.1724722	0.1620491	0.1531838	0.1758991	0.1631812	0.1587923	0.1703611	0.1743223	0.1755095	0.1821492	0.1385336
Genetic_Information_Processing__Translation__Ribosome	2.387018	2.332618	2.322658	2.292098	2.333737	2.280895	2.406718	2.420068	2.265498	2.226559	2.395998	2.437860
Genetic_Information_Processing__Translation__Ribosome_Biogenesis	1.447451	1.441669	1.490958	1.365928	1.538013	1.418471	1.464405	1.518680	1.466076	1.333316	1.668726	1.463778
Genetic_Information_Processing__Translation__Ribosome_biogenesis_in_eukaryotes	0.04884207	0.04694168	0.04378705	0.04460162	0.04528550	0.04637952	0.04714796	0.04873359	0.04691074	0.04326297	0.04752513	0.04898349
Genetic_Information_Processing__Translation__Translation_factors	0.5450435	0.5230743	0.5288930	0.5251489	0.5592691	0.5076621	0.5387250	0.5415302	0.5258066	0.5118988	0.5945439	0.5459474
Human_Diseases__Cancers__Bladder_cancer	2.295210e-05	4.599871e-05	1.388596e-04	2.309768e-05	0.000000e+00	1.152572e-04	0.000000e+00	0.000000e+00	7.156658e-04	0.000000e+00	9.139448e-05	0.000000e+00
Human_Diseases__Cancers__Pathways_in_cancer	0.04604191	0.04070886	0.04253732	0.04333125	0.04132474	0.04430489	0.04987381	0.05940267	0.04021580	0.04219647	0.04862186	0.04636184
Human_Diseases__Cancers__Prostate_cancer	0.04473364	0.04093885	0.04212074	0.04443994	0.04118737	0.04382081	0.04744827	0.04896303	0.03894607	0.04284565	0.04779931	0.04578691
Human_Diseases__Cancers__Renal_cell_carcinoma	0.0015148385	0.0010579703	0.0014348823	0.0014320562	0.0006181539	0.0005071319	0.0030492559	0.0108067429	0.0013851595	0.0003709580	0.0008453989	0.0008968808
Human_Diseases__Immune_System_Diseases__Primary_immunodeficiency	0.05168813	0.04261780	0.03559434	0.03718727	0.04173684	0.04437404	0.03649867	0.04985786	0.05187422	0.06021112	0.04693106	0.02759633
Human_Diseases__Infectious_Diseases__African_trypanosomiasis	0.0004590420	0.0004369877	0.0006017248	0.0003926606	0.0011447295	0.0037343348	0.0004389080	0.0002982753	0.0007849237	0.0010665042	0.0001370917	0.0005519266
Human_Diseases__Infectious_Diseases__Amoebiasis	0.0035575753	0.0098437240	0.0047212255	0.0142743667	0.0072117960	0.0116870849	0.0097483786	0.0049100700	0.0109196744	0.0100854200	0.0005940641	0.0036335170
Human_Diseases__Infectious_Diseases__Bacterial_invasion_of_epithelial_cells	8.721798e-04	1.011972e-03	3.980641e-03	2.309768e-05	2.289459e-04	6.223891e-04	2.310042e-05	2.064983e-04	3.047351e-03	3.709580e-04	2.284862e-04	4.599389e-05
Human_Diseases__Infectious_Diseases__Chagas_disease_American_trypanosomiasis	4.590420e-05	9.199742e-05	9.257305e-05	2.309768e-05	2.289459e-05	9.220580e-05	0.000000e+00	2.294425e-05	4.617198e-04	1.159244e-04	9.139448e-05	2.299694e-05
Human_Diseases__Infectious_Diseases__Epithelial_cell_signaling_in_Helicobacter_pylori_infection	0.09270353	0.10200214	0.09062902	0.10121404	0.09407387	0.09676998	0.10309719	0.10448813	0.10074727	0.10495792	0.09294818	0.09902484
Human_Diseases__Infectious_Diseases__Pertussis	0.0030985334	0.0045308730	0.0040269276	0.0115026450	0.0035028724	0.0008990065	0.0037653690	0.0052312895	0.0090266230	0.0114533276	0.0012109768	0.0066231197
Human_Diseases__Infectious_Diseases__Staphylococcus_aureus_infection	0.015699236	0.009038747	0.019394054	0.001732326	0.005448913	0.021253436	0.002310042	0.002661533	0.015028981	0.006630874	0.001416614	0.004921346
Human_Diseases__Infectious_Diseases__Tuberculosis	0.1570383	0.1600755	0.1629749	0.1488184	0.1698321	0.1545600	0.1639899	0.1717836	0.1589471	0.1390165	0.1810982	0.1724541
Human_Diseases__Infectious_Diseases__Vibrio_cholerae_infection	0	0	0	0	0	0	0	0	0	0	0	0
Human_Diseases__Infectious_Diseases__Vibrio_cholerae_pathogenic_cycle	0.07477794	0.06451319	0.06260252	0.06310286	0.07777292	0.06327623	0.06456568	0.06715783	0.06540262	0.07229044	0.08214079	0.07342924
Human_Diseases__Metabolic_Diseases__Type_I_diabetes_mellitus	0.04863550	0.04988560	0.04913315	0.05213147	0.04899442	0.05179661	0.05095953	0.04923837	0.04970414	0.04984748	0.04658834	0.05277798
Human_Diseases__Metabolic_Diseases__Type_II_diabetes_mellitus	0.05067823	0.05269152	0.05746472	0.04358532	0.06641721	0.05488550	0.04985071	0.05334539	0.05076610	0.04511776	0.08517965	0.05105321
Human_Diseases__Neurodegenerative_Diseases__Alzheimers_disease	0.04636324	0.04556172	0.04563851	0.04531765	0.04645312	0.04612595	0.04767927	0.04726516	0.04416350	0.04483955	0.04635985	0.05061627
Human_Diseases__Neurodegenerative_Diseases__Amyotrophic_lateral_sclerosis_ALS	0.005003558	0.008141772	0.009650740	0.010763519	0.025069577	0.009958226	0.004781788	0.008856481	0.007249002	0.011476512	0.037357493	0.003863486
Human_Diseases__Neurodegenerative_Diseases__Huntingtons_disease	0.02196516	0.01437460	0.01501998	0.01773902	0.02790851	0.01413054	0.00981768	0.01312411	0.01283581	0.01377181	0.03973375	0.01071658
Human_Diseases__Neurodegenerative_Diseases__Parkinsons_disease	1.836168e-04	2.299936e-05	0.000000e+00	2.078791e-04	0.000000e+00	1.613601e-04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	6.854586e-05	4.369419e-04
Human_Diseases__Neurodegenerative_Diseases__Prion_diseases	0.004177282	0.005105857	0.006804119	0.004573341	0.022047491	0.007215104	0.003280260	0.008099321	0.005933100	0.006329471	0.037083310	0.002460673
Metabolism__Amino_Acid_Metabolism__Alanine_aspartate_and_glutamate_metabolism	1.080172	1.050220	1.075884	1.100535	1.055349	1.060874	1.108982	1.122892	1.058493	1.142736	1.101349	1.141798
Metabolism__Amino_Acid_Metabolism__Amino_acid_related_enzymes	1.477335	1.501536	1.452263	1.492665	1.470565	1.454385	1.511946	1.527078	1.502852	1.449518	1.466150	1.518120
Metabolism__Amino_Acid_Metabolism__Arginine_and_proline_metabolism	1.263582	1.272094	1.241474	1.322781	1.196242	1.297497	1.322314	1.239976	1.277048	1.390304	1.199118	1.360706
Metabolism__Amino_Acid_Metabolism__Cysteine_and_methionine_metabolism	1.0123023	0.9543582	0.9779880	0.9364031	1.0064691	0.9579721	0.9549253	0.9696470	0.9391613	0.9465457	1.0298330	1.0169018
Metabolism__Amino_Acid_Metabolism__Glycine_serine_and_threonine_metabolism	0.7780532	0.7991816	0.7977020	0.8019053	0.7889018	0.7781247	0.7863153	0.7859324	0.7840696	0.8657464	0.7769902	0.8161615
Metabolism__Amino_Acid_Metabolism__Histidine_metabolism	0.6706144	0.6751231	0.6270667	0.6525788	0.7442802	0.6436195	0.6707670	0.7558525	0.6411211	0.6319733	0.8312785	0.6764551
Metabolism__Amino_Acid_Metabolism__Lysine_biosynthesis	0.9038996	0.9097395	0.8901593	0.8807608	0.9491639	0.9251930	0.9392170	0.8636217	0.9144592	1.0017257	1.0145244	0.9203147
Metabolism__Amino_Acid_Metabolism__Lysine_degradation	0.12412495	0.11078789	0.10680616	0.10472488	0.12745419	0.11018593	0.10616955	0.12291236	0.10670346	0.09192802	0.13668044	0.12043499
Metabolism__Amino_Acid_Metabolism__Phenylalanine_metabolism	0.1656912	0.1646524	0.1476540	0.1768820	0.1575606	0.1788562	0.1738538	0.1913321	0.1507284	0.1622709	0.1646929	0.1867582
Metabolism__Amino_Acid_Metabolism__Phenylalanine_tyrosine_and_tryptophan_biosynthesis	0.7721545	0.9004938	0.8029786	0.8572473	0.8638587	0.9022337	0.8854161	0.8888374	0.9070948	0.9094962	0.8798775	0.7867714
Metabolism__Amino_Acid_Metabolism__Tryptophan_metabolism	0.11925911	0.11315683	0.11171253	0.11285527	0.10993982	0.11924515	0.10339749	0.11350522	0.11332914	0.10326543	0.09861464	0.10606190
Metabolism__Amino_Acid_Metabolism__Tyrosine_metabolism	0.3466226	0.3353996	0.3312495	0.3047046	0.3472194	0.3510736	0.3377282	0.3329440	0.3140388	0.3123234	0.3712215	0.3460580
Metabolism__Amino_Acid_Metabolism__Valine_leucine_and_isoleucine_biosynthesis	0.7532190	0.8381885	0.8129765	0.7788307	0.7801561	0.7825737	0.8271569	0.7098493	0.8114726	0.8095926	0.7358855	0.8298907
Metabolism__Amino_Acid_Metabolism__Valine_leucine_and_isoleucine_degradation	0.1936698	0.1771180	0.1642014	0.1743413	0.1558664	0.1610144	0.1598780	0.1719901	0.1623869	0.1245260	0.1145173	0.2013382
Metabolism__Biosynthesis_of_Other_Secondary_Metabolites__Butirosin_and_neomycin_biosynthesis	0.06988914	0.08486762	0.09153160	0.07121015	0.09199046	0.07680743	0.08168310	0.08298936	0.07419838	0.07013424	0.09223988	0.08920514
Metabolism__Biosynthesis_of_Other_Secondary_Metabolites__Flavone_and_flavonol_biosynthesis	0.0089054144	0.0061408278	0.0093267347	0.0077377231	0.0029534022	0.0027892254	0.0075538384	0.0058048958	0.0088650211	0.0012751680	0.0009824906	0.0100956581
Metabolism__Biosynthesis_of_Other_Secondary_Metabolites__Flavonoid_biosynthesis	0.002777204	0.004162883	0.014996834	0.005404857	0.003846291	0.011687085	0.005197595	0.017621186	0.001269730	0.001507017	0.011607099	0.003426545
Metabolism__Biosynthesis_of_Other_Secondary_Metabolites__Isoquinoline_alkaloid_biosynthesis	0.05132089	0.04192782	0.03577948	0.05005267	0.02614562	0.04543441	0.04197347	0.04260748	0.03887681	0.04887371	0.01213262	0.05335291
Metabolism__Biosynthesis_of_Other_Secondary_Metabolites__Novobiocin_biosynthesis	0.1412931	0.1318783	0.1231453	0.1327424	0.1181132	0.1329147	0.1348603	0.1345451	0.1242719	0.1306468	0.1083710	0.1444208
Metabolism__Biosynthesis_of_Other_Secondary_Metabolites__Penicillin_and_cephalosporin_biosynthesis	0.014345062	0.013477622	0.026776755	0.026770212	0.007852845	0.011733188	0.015338681	0.012711116	0.022324155	0.022674806	0.001896435	0.017523671
Metabolism__Biosynthesis_of_Other_Secondary_Metabolites__Phenylpropanoid_biosynthesis	0.1480640	0.1789810	0.2126634	0.1771361	0.2175444	0.1676532	0.1474962	0.1799747	0.2081433	0.1543185	0.2603829	0.1238385
Metabolism__Biosynthesis_of_Other_Secondary_Metabolites__Stilbenoid_diarylheptanoid_and_gingerol_biosynthesis	0.0010557966	0.0010809697	0.0044666496	0.0018478145	0.0006181539	0.0016597044	0.0003003055	0.0157856456	0.0002539459	0.0009042101	0.0106703054	0.0002529664
Metabolism__Biosynthesis_of_Other_Secondary_Metabolites__Streptomycin_biosynthesis	0.2658542	0.3229799	0.3285418	0.3441554	0.3077720	0.3017435	0.3043019	0.3116288	0.3242658	0.3596669	0.2862475	0.3018119
Metabolism__Biosynthesis_of_Other_Secondary_Metabolites__Tropane_piperidine_and_pyridine_alkaloid_biosynthesis	0.12226583	0.11419180	0.09671569	0.11045311	0.10858904	0.10970185	0.11238356	0.10923759	0.09818473	0.09784017	0.10115084	0.12919683
Metabolism__Biosynthesis_of_Other_Secondary_Metabolites__beta_Lactam_resistance	0.022378296	0.024172322	0.027864488	0.028340854	0.009730201	0.029828576	0.024255444	0.021819984	0.038576693	0.038185487	0.002856077	0.018075597
Metabolism__Carbohydrate_Metabolism__Amino_sugar_and_nucleotide_sugar_metabolism	1.555303	1.470970	1.585059	1.516432	1.827904	1.439448	1.425065	1.709622	1.561698	1.549376	2.061425	1.372527
Metabolism__Carbohydrate_Metabolism__Ascorbate_and_aldarate_metabolism	0.11163901	0.11375481	0.12643164	0.09726433	0.12198238	0.11332093	0.07685511	0.07569309	0.11134374	0.10502748	0.10428110	0.05976906
Metabolism__Carbohydrate_Metabolism__Butanoate_metabolism	0.6750212	0.6496628	0.6094547	0.6018332	0.5907720	0.6663252	0.6278926	0.5584860	0.5543870	0.5524955	0.5079934	0.7657062
Metabolism__Carbohydrate_Metabolism__C5_Branched_dibasic_acid_metabolism	0.2907572	0.3577550	0.3316429	0.3340156	0.3287892	0.3244492	0.3426486	0.2844170	0.3431502	0.3623100	0.2951128	0.3228311
Metabolism__Carbohydrate_Metabolism__Citrate_cycle_TCA_cycle	0.4718722	0.4714408	0.4524971	0.4943828	0.3895057	0.4502640	0.4940719	0.4196733	0.4062442	0.4949971	0.3073825	0.5772923
Metabolism__Carbohydrate_Metabolism__Fructose_and_mannose_metabolism	1.098740	1.158133	1.073084	1.046348	1.334984	1.168593	1.038918	1.205881	1.107989	1.270693	1.331069	0.925650
Metabolism__Carbohydrate_Metabolism__Galactose_metabolism	0.8168652	0.8542650	0.8588002	0.8796290	0.8990477	0.8596347	0.8083069	0.8630939	0.9144823	0.8985530	0.8919644	0.7883122
Metabolism__Carbohydrate_Metabolism__Glycolysis_Gluconeogenesis	1.201634	1.234306	1.301137	1.116611	1.511203	1.245585	1.194384	1.236328	1.220556	1.160890	1.743190	1.222058
Metabolism__Carbohydrate_Metabolism__Glyoxylate_and_dicarboxylate_metabolism	0.5092841	0.5067678	0.5298187	0.5162101	0.4557168	0.5255500	0.5206835	0.5520387	0.5172417	0.5933937	0.4402015	0.5236174
Metabolism__Carbohydrate_Metabolism__Inositol_phosphate_metabolism	0.06114439	0.10239313	0.08849984	0.10160670	0.09560781	0.10098840	0.07570009	0.07073713	0.08315574	0.10331180	0.05316874	0.06947377
Metabolism__Carbohydrate_Metabolism__Pentose_and_glucuronate_interconversions	0.5624412	0.5465567	0.6725663	0.5884596	0.4413619	0.5220462	0.5717124	0.5571782	0.5279997	0.6440758	0.3784645	0.6278166
Metabolism__Carbohydrate_Metabolism__Pentose_phosphate_pathway	0.9314880	0.9676979	1.0313795	0.9144834	0.9941060	1.0185974	0.9390091	0.9782741	0.9305733	0.9635402	0.9638233	0.9061256
Metabolism__Carbohydrate_Metabolism__Propanoate_metabolism	0.5085726	0.5540545	0.4835553	0.5039683	0.5825071	0.5619943	0.5124598	0.4843991	0.5091385	0.5237463	0.5660060	0.5266530
Metabolism__Carbohydrate_Metabolism__Pyruvate_metabolism	1.063876	1.140078	1.078939	1.071086	1.151026	1.162531	1.112655	1.022878	1.076500	1.148486	1.142522	1.148191
Metabolism__Carbohydrate_Metabolism__Starch_and_sucrose_metabolism	1.073309	1.137203	1.174405	1.101136	1.116455	1.118295	1.112262	1.107083	1.210422	1.187321	1.139643	1.074992
Metabolism__Energy_Metabolism__Carbon_fixation_in_photosynthetic_organisms	0.6195919	0.6756291	0.6612724	0.6490217	0.6684991	0.7006027	0.6577615	0.6631348	0.6373119	0.6588677	0.6239730	0.6446273
Metabolism__Energy_Metabolism__Carbon_fixation_pathways_in_prokaryotes	0.9404393	0.9476884	0.8388044	0.9608635	0.8604474	0.9060372	0.9701023	0.8554994	0.8517346	0.9510667	0.7695187	1.0521561
Metabolism__Energy_Metabolism__Methane_metabolism	1.281117	1.423890	1.326826	1.377315	1.389518	1.398209	1.374660	1.303119	1.367522	1.532822	1.341191	1.279826
Metabolism__Energy_Metabolism__Nitrogen_metabolism	0.6279924	0.6431540	0.6617816	0.7029548	0.6692776	0.6450487	0.6412447	0.6489782	0.6611828	0.7181051	0.6640723	0.6305302
Metabolism__Energy_Metabolism__Oxidative_phosphorylation	1.0306181	1.0936653	0.9763217	1.0881086	1.0425968	1.0140102	1.0922573	1.0470839	1.0552838	1.2685372	1.0301072	1.0634706
Metabolism__Energy_Metabolism__Photosynthesis	0.4282632	0.4499364	0.3828127	0.4067040	0.3958246	0.4272586	0.4612000	0.5180812	0.5020049	0.3952325	0.3698506	0.4396786
Metabolism__Energy_Metabolism__Photosynthesis_proteins	0.4288829	0.4513853	0.3847336	0.4096605	0.3974043	0.4287109	0.4627939	0.5184024	0.5032515	0.3972264	0.3701248	0.4403455
Metabolism__Energy_Metabolism__Sulfur_metabolism	0.2398265	0.2756933	0.2369639	0.2555296	0.2592812	0.2557558	0.2496463	0.2575033	0.2861047	0.2627542	0.2386767	0.2436756
Metabolism__Enzyme_Families__Peptidases	2.005715	1.817087	1.854655	1.867517	1.914881	1.826712	1.881945	2.043759	1.846995	1.929260	2.038440	1.922222
Metabolism__Enzyme_Families__Protein_kinases	0.2602768	0.3158271	0.3264820	0.3276175	0.2773222	0.3212681	0.2967249	0.2781761	0.3271978	0.2947261	0.2505580	0.2841962
Metabolism__Glycan_Biosynthesis_and_Metabolism__Glycosaminoglycan_degradation	0.05685235	0.04767766	0.06505571	0.06441943	0.13555887	0.02489557	0.04185797	0.07323805	0.05351333	0.06408299	0.23216482	0.05144416
Metabolism__Glycan_Biosynthesis_and_Metabolism__Glycosphingolipid_biosynthesis_ganglio_series	0.019991278	0.024126323	0.027262763	0.042892393	0.051146515	0.009474146	0.019889464	0.030814131	0.022762788	0.053093361	0.076931302	0.027504344
Metabolism__Glycan_Biosynthesis_and_Metabolism__Glycosphingolipid_biosynthesis_globo_series	0.07140398	0.09289440	0.09859030	0.11685117	0.10673458	0.07913563	0.08678829	0.08624744	0.09128201	0.14305067	0.11794457	0.08145517
Metabolism__Glycan_Biosynthesis_and_Metabolism__Glycosyltransferases	0.2423742	0.2763373	0.2595517	0.2903609	0.2307317	0.2542805	0.2370334	0.2681954	0.2989174	0.2933350	0.1789047	0.2429167
Metabolism__Glycan_Biosynthesis_and_Metabolism__Lipopolysaccharide_biosynthesis	0.036333173	0.054048484	0.041264437	0.122579392	0.033128473	0.017496050	0.047887178	0.061880649	0.042131936	0.088264814	0.007083072	0.071428506
Metabolism__Glycan_Biosynthesis_and_Metabolism__Lipopolysaccharide_biosynthesis_proteins	0.12178384	0.13861711	0.15422670	0.22494831	0.16516158	0.08376897	0.12245534	0.15898072	0.13135930	0.18077246	0.17981864	0.15897787
Metabolism__Glycan_Biosynthesis_and_Metabolism__N_Glycan_biosynthesis	0.008308660	0.017088521	0.007614133	0.023929197	0.012546236	0.007307309	0.012451128	0.008168154	0.016852774	0.018617454	0.001119582	0.008140918
Metabolism__Glycan_Biosynthesis_and_Metabolism__Other_glycan_degradation	0.2042966	0.2312585	0.2811906	0.3495834	0.2240007	0.2018154	0.2298492	0.2509183	0.2475511	0.3169604	0.2187984	0.2372825
Metabolism__Glycan_Biosynthesis_and_Metabolism__Peptidoglycan_biosynthesis	0.8601299	0.8485612	0.8830312	0.8213304	0.8389723	0.8202167	0.8676981	0.8895946	0.8473713	0.8169422	0.8652315	0.8781383
Metabolism__Lipid_Metabolism__Arachidonic_acid_metabolism	0.022722578	0.009291739	0.014094247	0.013720022	0.007143112	0.013876973	0.010626195	0.015946255	0.006718024	0.005865773	0.004798210	0.022651989
