ionIdx,ionMz,MzDelta,Mod,Formula,CompoundID,annSource,Compound_Name
23,90.9855,0.0004444,-H(-),C2H4O2S,HMDB0254464,['hmdb40_kegg_H_F_K_Na'],Dioctyltin isooctylthioglycolate
24,91.0552,0.0001665,-H(-),C7H8,HMDB0034168,['hmdb40_kegg_H_F_K_Na'],Toluene
25,92.0504,0.0001225,-H(-),C6H7N,HMDB0003012,['hmdb40_kegg_H_F_K_Na'],Aniline
26,93.0346,1.41E-05,-H(-),C6H6O,HMDB0000228,['hmdb40_kegg_H_F_K_Na'],Phenol
27,93.0457,0.0001445,-H(-),C5H6N2,HMDB0033112,['hmdb40_kegg_H_F_K_Na'],Methylpyrazine
28,94.9804,0.000397,-H(-),CH4O3S,HMDB0240280,['hmdb40_kegg_H_F_K_Na'],Methanesulfonic acid
29,94.9901,0.0002648,-H(-),CH5O3P,HMDB0240714,['hmdb40_kegg_H_F_K_Na'],Methylphosphonate
30,95.0507,-0.0004239,-H(-),C6H8O,HMDB0031545,['hmdb40_kegg_H_F_K_Na'],2-Methyl-2-cyclopenten-1-one
31,96.0089,0.0001807,-H(-),C4H3NO2,HMDB0254312,['hmdb40_kegg_H_F_K_Na'],Dichloromaleimide
32,96.9924,0.0007303,-H(-),C4H2O3,HMDB0254845,['hmdb40_kegg_H_F_K_Na'],Fumonisin B2
33,97.0295,1.07E-05,-H(-),C5H6O2,HMDB0013742,['hmdb40_kegg_H_F_K_Na'],2-Furanmethanol
34,98.0249,-0.0001283,-H(-),C4H5NO2,HMDB0030276,['hmdb40_kegg_H_F_K_Na'],(R)-Dihydromaleimide
35,98.0611,2.31E-05,-H(-),C5H9NO,HMDB0011749,['hmdb40_kegg_H_F_K_Na'],2-Piperidinone
36,99.045,0.0001077,-H(-),C5H8O2,HMDB0000509,['hmdb40_kegg_H_F_K_Na'],Senecioic acid
37,100.0403,5.47E-05,-H(-),C4H7NO2,HMDB0029387,['hmdb40_kegg_H_F_K_Na'],L-3-Aminodihydro-2(3H)-furanone
38,101.0243,0.0001263,-H(-),C4H6O3,HMDB0000005,['hmdb40_kegg_H_F_K_Na'],2-Ketobutyric acid
39,101.0607,0.0001187,-H(-),C5H10O2,HMDB0000718,['hmdb40_kegg_H_F_K_Na'],Isovaleric acid
40,102.0561,-6.83E-05,-H(-),C4H9NO2,HMDB0000092,['hmdb40_kegg_H_F_K_Na'],Dimethylglycine
41,103.0027,0.0009709,-H(-),C3H4O4,HMDB0000691,['hmdb40_kegg_H_F_K_Na'],Malonic acid
42,103.0401,-6.87E-05,-H(-),C4H8O3,HMDB0000008,['hmdb40_kegg_H_F_K_Na'],2-Hydroxybutyric acid
43,103.0595,-0.0007788,-H(-),C5H12S,HMDB0032457,['hmdb40_kegg_H_F_K_Na'],1-Pentanethiol
44,104.0353,3.93E-05,-H(-),C3H7NO3,HMDB0000187,['hmdb40_kegg_H_F_K_Na'],L-Serine
45,105.0192,8.69E-05,-H(-),C3H6O4,HMDB0000139,['hmdb40_kegg_H_F_K_Na'],Glyceric acid
46,105.0346,-4.90E-06,-H(-),C7H6O,HMDB0006115,['hmdb40_kegg_H_F_K_Na'],Benzaldehyde
47,105.0377,0.0002608,-H(-),C4H10OS,HMDB0031716,['hmdb40_kegg_H_F_K_Na'],3-(Methylthio)-1-propanol
48,106.029,0.0007871,-H(-),C6H5NO,HMDB0255658,['hmdb40_kegg_H_F_K_Na'],4-Nitrophenol
49,107.0502,3.91E-05,-H(-),C7H8O,HMDB0001858,['hmdb40_kegg_H_F_K_Na'],p-Cresol
50,108.0215,0.0001397,-H(-),C6H5O2,HMDB0256033,['hmdb40_kegg_H_F_K_Na'],Benzoquinoneacetic acid
51,108.9961,0.000392,-H(-),C2H6O3S,HMDB0254601,['hmdb40_kegg_H_F_K_Na'],Methyl methanethiosulfonate
52,109.0117,1.72E-05,-H(-),C6H6S,HMDB0029726,['hmdb40_kegg_H_F_K_Na'],2-Vinylthiophene
53,109.0295,1.87E-05,-H(-),C6H6O2,HMDB0000957,['hmdb40_kegg_H_F_K_Na'],Pyrocatechol
54,110.0247,5.57E-05,-H(-),C5H5NO2,HMDB0003094,['hmdb40_kegg_H_F_K_Na'],"2,5-Dihydroxypyridine"
55,110.0359,3.71E-05,-H(-),C4H5N3O,HMDB0000630,['hmdb40_kegg_H_F_K_Na'],Cytosine
56,110.0724,6.50E-06,-H(-),C5H9N3,HMDB0000870,['hmdb40_kegg_H_F_K_Na'],Histamine
57,110.9757,4.86E-05,-H(-),CH4O4S,HMDB0254614,['hmdb40_kegg_H_F_K_Na'],Ethyl hydrogen sulfate
58,110.9919,-0.0009042,-H(-),C5H4OS,HMDB0029717,['hmdb40_kegg_H_F_K_Na'],2-Thiophenecarboxaldehyde
59,111.0086,0.0001893,-H(-),C5H4O3,HMDB0000444,['hmdb40_kegg_H_F_K_Na'],3-Furoic acid
60,111.0199,0.0001477,-H(-),C4H4N2O2,HMDB0000300,['hmdb40_kegg_H_F_K_Na'],Uracil
61,111.0816,-3.59E-05,-H(-),C7H12O,HMDB0031483,['hmdb40_kegg_H_F_K_Na'],(Z)-4-Heptenal
62,112.0147,0.0005587,-H(-),C3H3N3O2,HMDB0245259,['hmdb40_kegg_H_F_K_Na'],Azomycin
63,112.0233,-0.000816433,-H(-) [+1],C4H4N2O2,HMDB0000300,['hmdb40_kegg_H_F_K_Na'],NA
64,112.0402,0.0001657,-H(-),C5H7NO2,HMDB0001301,['hmdb40_kegg_H_F_K_Na'],1-Pyrroline-5-carboxylic acid
65,112.0515,9.61E-05,-H(-),C4H7N3O,HMDB0000562,['hmdb40_kegg_H_F_K_Na'],Creatinine
66,114.0196,8.63E-05,-H(-),C4H5NO3,HMDB0254310,['hmdb40_kegg_H_F_K_Na'],Maleamate
67,114.056,1.77E-05,-H(-),C5H9NO2,HMDB0000162,['hmdb40_kegg_H_F_K_Na'],L-Proline
68,115.04,6.73E-05,-H(-),C5H8O3,HMDB0000019,['hmdb40_kegg_H_F_K_Na'],Alpha-ketoisovaleric acid
69,115.0593,-0.0005988,-H(-),C6H12S,HMDB0032411,['hmdb40_kegg_H_F_K_Na'],2-Methyl-1-methylthio-2-butene
70,115.0763,0.0001407,-H(-),C6H12O2,HMDB0000535,['hmdb40_kegg_H_F_K_Na'],Caproic acid
71,116.0503,0.0002845,-H(-),C8H7N,HMDB0000738,['hmdb40_kegg_H_F_K_Na'],Indole
72,116.0717,-1.30E-06,-H(-),C5H11NO2,HMDB0000043,['hmdb40_kegg_H_F_K_Na'],Betaine
73,117.0193,-2.10E-06,-H(-),C4H6O4,HMDB0000202,['hmdb40_kegg_H_F_K_Na'],Methylmalonic acid
74,118.0297,0.0001161,-H(-),C7H5NO,HMDB0062270,['hmdb40_kegg_H_F_K_Na'],NA
75,118.0508,0.0001283,-H(-),C4H9NO3,HMDB0000167,['hmdb40_kegg_H_F_K_Na'],L-Threonine
76,119.0355,-0.0004781,-H(-),C4H8O4,HMDB0000337,['hmdb40_kegg_H_F_K_Na'],"(S)-3,4-Dihydroxybutyric acid"
77,119.0501,0.0001351,-H(-),C8H8O,HMDB0004072,['hmdb40_kegg_H_F_K_Na'],4-Hydroxystyrene
78,120.0455,-2.90E-06,-H(-),C7H7NO,HMDB0004461,['hmdb40_kegg_H_F_K_Na'],Benzamide
79,120.9962,0.000259,-H(-),C3H6O3S,HMDB0002127,['hmdb40_kegg_H_F_K_Na'],3-Mercaptolactic acid
80,121.0293,0.0002417,-H(-),C7H6O2,HMDB0001870,['hmdb40_kegg_H_F_K_Na'],Benzoic acid
81,121.0656,0.0002421,-H(-),C8H10O,HMDB0029306,['hmdb40_kegg_H_F_K_Na'],4-Ethylphenol
82,122.0248,-2.93E-05,-H(-),C6H5NO2,HMDB0001488,['hmdb40_kegg_H_F_K_Na'],Nicotinic acid
83,122.0352,0.0007571,-H(-),C5H5N3O,HMDB0014483,['hmdb40_kegg_H_F_K_Na'],Pyrazinamide
84,122.0612,-4.49E-05,-H(-),C7H9NO,HMDB0029300,['hmdb40_kegg_H_F_K_Na'],p-Anisidine
85,123.0454,-0.0002793,-H(-),C7H8O2,HMDB0000873,['hmdb40_kegg_H_F_K_Na'],4-Methylcatechol
86,124.0073,5.90E-05,-H(-),C2H7NO3S,HMDB0000251,['hmdb40_kegg_H_F_K_Na'],Taurine
87,124.0168,8.08E-05,-H(-),C2H8NO3P,HMDB0011747,['hmdb40_kegg_H_F_K_Na'],Ciliatine
88,124.0401,0.0003437,-H(-),C6H7NO2,HMDB0255137,['hmdb40_kegg_H_F_K_Na'],N-Ethylacetamide
89,124.9907,-0.00016282,-H(-) [+2],C3H8OS2,HMDB0015677,['hmdb40_kegg_H_F_K_Na'],Dimercaprol
90,125.0067,-8.32E-05,-H(-),C6H6OS,HMDB0032431,['hmdb40_kegg_H_F_K_Na'],5-Methyl-2-thiophenecarboxaldehyde
91,125.024,0.0004053,-H(-),C6H6O3,HMDB0013674,['hmdb40_kegg_H_F_K_Na'],"1,2,3-Trihydroxybenzene"
92,125.0355,0.0001127,-H(-),C5H6N2O2,HMDB0000262,['hmdb40_kegg_H_F_K_Na'],Thymine
93,125.0972,3.01E-05,-H(-),C8H14O,HMDB0013809,['hmdb40_kegg_H_F_K_Na'],Sulcatone
94,126.0196,5.93E-05,-H(-),C5H5NO3,HMDB0034368,['hmdb40_kegg_H_F_K_Na'],Hydroxyminaline
95,126.0561,-1.30E-06,-H(-),C6H9NO2,HMDB0001084,['hmdb40_kegg_H_F_K_Na'],D-1-Piperideine-2-carboxylic acid
96,127.0038,-8.91E-05,-H(-),C5H4O4,HMDB0059784,['hmdb40_kegg_H_F_K_Na'],Delta-Hexanolactone
97,127.0399,0.0001713,-H(-),C6H8O3,HMDB0031303,['hmdb40_kegg_H_F_K_Na'],Osmundalactone
98,127.0548,0.0005185,-H(-),C10H8,HMDB0029751,['hmdb40_kegg_H_F_K_Na'],Naphthalene
99,127.0764,4.37E-05,-H(-),C7H12O2,HMDB0029165,['hmdb40_kegg_H_F_K_Na'],"1,3-Diacetylpropane"
100,128.0099,0.0002853,-H(-),C3H3N3O3,HMDB0041861,['hmdb40_kegg_H_F_K_Na'],Cyanuric acid
101,128.0352,0.0001423,-H(-),C5H7NO3,HMDB0000267,['hmdb40_kegg_H_F_K_Na'],Pyroglutamic acid
102,128.0717,-3.53E-05,-H(-),C6H11NO2,HMDB0000070,['hmdb40_kegg_H_F_K_Na'],Pipecolic acid
103,129.0192,0.0001339,-H(-),C5H6O4,HMDB0000620,['hmdb40_kegg_H_F_K_Na'],Glutaconic acid
104,129.0384,-0.0004792,-H(-),C6H10OS,HMDB0031370,['hmdb40_kegg_H_F_K_Na'],2-[(Methylthio)methyl]-2-butenal
105,129.0557,1.93E-05,-H(-),C6H10O3,HMDB0000408,['hmdb40_kegg_H_F_K_Na'],2-Methyl-3-ketovaleric acid
106,129.0918,0.0003327,-H(-),C7H14O2,HMDB0000666,['hmdb40_kegg_H_F_K_Na'],Heptanoic acid
107,130.0138,0.0007419,-H(-),C4H5NO4,HMDB0001131,['hmdb40_kegg_H_F_K_Na'],Iminoaspartic acid
108,130.0509,3.63E-05,-H(-),C5H9NO3,HMDB0000725,['hmdb40_kegg_H_F_K_Na'],4-Hydroxyproline
109,130.0658,0.0003745,-H(-),C9H9N,HMDB0000466,['hmdb40_kegg_H_F_K_Na'],3-Methylindole
110,130.0872,0.0001767,-H(-),C6H13NO2,HMDB0000172,['hmdb40_kegg_H_F_K_Na'],L-Isoleucine
111,131.0105,-0.0007011,-H(-),C3H4N2O4,HMDB0303019,['hmdb40_kegg_H_F_K_Na'],Oxalureate
112,131.0352,-0.0002491,-H(-),C5H8O4,HMDB0000576,['hmdb40_kegg_H_F_K_Na'],Monoethyl malonic acid
113,131.0462,2.03E-05,-H(-),C4H8N2O3,HMDB0000026,['hmdb40_kegg_H_F_K_Na'],Ureidopropionic acid
114,131.0824,0.0001727,-H(-),C5H12N2O2,HMDB0000214,['hmdb40_kegg_H_F_K_Na'],Ornithine
115,131.0907,-0.0006818,-H(-),C7H16S,HMDB0032303,['hmdb40_kegg_H_F_K_Na'],2-Heptanethiol
116,131.9957,-0.0009661,-H(-),C4H7NS2,HMDB0038442,['hmdb40_kegg_H_F_K_Na'],1-Isothiocyanato-6-(methylthio)hexane
117,132.0302,2.79E-05,-H(-),C4H7NO4,HMDB0000191,['hmdb40_kegg_H_F_K_Na'],L-Aspartic acid
118,132.0456,-8.49E-05,-H(-),C8H7NO,HMDB0004094,['hmdb40_kegg_H_F_K_Na'],Indoxyl
119,132.0562,0.0005115,-H(-),C7H7N3,HMDB0033172,['hmdb40_kegg_H_F_K_Na'],"3-Methylpyrrolo[1,2-a]pyrazine"
120,133.014,0.0002245,-H(-),C4H6O5,HMDB0000156,['hmdb40_kegg_H_F_K_Na'],L-Malic acid
121,133.0498,0.0008609,-H(-),C5H10O4,HMDB0000421,['hmdb40_kegg_H_F_K_Na'],"2,3-Dihydroxyvaleric acid"
122,133.0659,-2.49E-05,-H(-),C9H10O,HMDB0029639,['hmdb40_kegg_H_F_K_Na'],(4-Methylphenyl)acetaldehyde
123,134.0279,0.0002004,-H(-),C4H9NO2S,HMDB0000165,['hmdb40_kegg_H_F_K_Na'],Homocysteine
124,134.0474,-0.0001795,-H(-),C5H5N5,HMDB0000034,['hmdb40_kegg_H_F_K_Na'],Adenine
125,135.0117,0.000448,-H(-),C4H8O3S,HMDB0244530,['hmdb40_kegg_H_F_K_Na'],NA
126,135.031,-0.0002561,-H(-),C5H12S2,HMDB0031160,['hmdb40_kegg_H_F_K_Na'],1-Pentanesulfenothioic acid
127,136.0164,0.0001623,-H(-),C7H5O3,HMDB0302214,['hmdb40_kegg_H_F_K_Na'],Salicylate-sodium
128,136.0403,0.0001157,-H(-),C7H7NO2,HMDB0000875,['hmdb40_kegg_H_F_K_Na'],Trigonelline
129,136.0766,0.0001511,-H(-),C8H11NO,HMDB0000306,['hmdb40_kegg_H_F_K_Na'],Tyramine
130,137.0356,6.87E-05,-H(-),C6H6N2O2,HMDB0000301,['hmdb40_kegg_H_F_K_Na'],Urocanic acid
131,138.9801,0.000103,-H(-),C2H5O5P,HMDB0001494,['hmdb40_kegg_H_F_K_Na'],Acetylphosphate
132,139.0511,0.0001607,-H(-),C6H8N2O2,HMDB0002144,['hmdb40_kegg_H_F_K_Na'],"1,3-Dimethyluracil"
133,139.0594,-0.0007388,-H(-),C8H12S,HMDB0040236,['hmdb40_kegg_H_F_K_Na'],"3,4-Dimethylthiophene"
134,139.0759,0.0005277,-H(-),C8H12O2,HMDB0032311,['hmdb40_kegg_H_F_K_Na'],"2,4-Hexadienyl acetate"
135,139.1127,0.0001481,-H(-),C9H16O,HMDB0030957,['hmdb40_kegg_H_F_K_Na'],"(3Z,6Z)-3,6-Nonadien-1-ol"
136,139.9758,-0.000359,-H(-),CH4NO5P,HMDB0001096,['hmdb40_kegg_H_F_K_Na'],Carbamoyl phosphate
137,139.9937,0.0003339,-H(-),C2H8NO2PS,HMDB0031803,['hmdb40_kegg_H_F_K_Na'],(±)-Methamidophos
138,140.035,0.0002713,-H(-),C6H7NO3,HMDB0001280,['hmdb40_kegg_H_F_K_Na'],2-Aminomuconic acid semialdehyde
139,141.0017,-8.36E-05,-H(-),C6H6O2S,HMDB0029719,['hmdb40_kegg_H_F_K_Na'],Methyl thiophene-2-carboxylate
140,141.0197,-0.0003181,-H(-),C6H6O4,HMDB0002349,['hmdb40_kegg_H_F_K_Na'],trans-trans-Muconic acid
141,141.0555,0.0002053,-H(-),C7H10O3,HMDB0033551,['hmdb40_kegg_H_F_K_Na'],5-Ethyl-3-hydroxy-4-methyl-2(5H)-furanone
142,141.071,-6.05E-05,-H(-),C11H10,HMDB0032860,['hmdb40_kegg_H_F_K_Na'],1-Methylnaphthalene
143,141.0921,2.07E-05,-H(-),C8H14O2,HMDB0000392,['hmdb40_kegg_H_F_K_Na'],2-Octenoic acid
144,142.0508,0.0002023,-H(-),C6H9NO3,HMDB0000894,['hmdb40_kegg_H_F_K_Na'],Vinylacetylglycine
145,143.0348,0.0002159,-H(-),C6H8O4,HMDB0000393,['hmdb40_kegg_H_F_K_Na'],3-Hexenedioic acid
146,143.0503,-1.69E-05,-H(-),C10H8O,HMDB0006215,['hmdb40_kegg_H_F_K_Na'],Naphthalene epoxide
147,143.0542,-0.0006112,-H(-),C7H12OS,HMDB0031698,['hmdb40_kegg_H_F_K_Na'],S-(3-Methyl-2-butenyl) ethanethioate
148,143.0713,3.43E-05,-H(-),C7H12O3,HMDB0001988,['hmdb40_kegg_H_F_K_Na'],4-Hydroxycyclohexylcarboxylic acid
149,143.1076,0.0002027,-H(-),C8H16O2,HMDB0000482,['hmdb40_kegg_H_F_K_Na'],Caprylic acid
150,144.0456,-0.0001359,-H(-),C9H7NO,HMDB0029737,['hmdb40_kegg_H_F_K_Na'],1H-Indole-3-carboxaldehyde
151,144.0667,-0.0001307,-H(-),C6H11NO3,HMDB0000730,['hmdb40_kegg_H_F_K_Na'],Isobutyrylglycine
152,145.014,0.0002435,-H(-),C5H6O5,HMDB0000208,['hmdb40_kegg_H_F_K_Na'],Oxoglutaric acid
153,145.0294,0.0001377,-H(-),C9H6O2,HMDB0001218,['hmdb40_kegg_H_F_K_Na'],Coumarin
154,145.0504,0.0002399,-H(-),C6H10O4,HMDB0000422,['hmdb40_kegg_H_F_K_Na'],2-Methylglutaric acid
155,145.0619,-9.70E-06,-H(-),C5H10N2O3,HMDB0000641,['hmdb40_kegg_H_F_K_Na'],L-Glutamine
156,145.07,-0.0007542,-H(-),C7H14OS,HMDB0037621,['hmdb40_kegg_H_F_K_Na'],NA
157,145.0868,0.0002113,-H(-),C7H14O3,HMDB0002207,['hmdb40_kegg_H_F_K_Na'],3-Hydroxyisoheptanoic acid
158,145.0981,0.0001677,-H(-),C6H14N2O2,HMDB0000182,['hmdb40_kegg_H_F_K_Na'],L-Lysine
159,146.0246,0.0001267,-H(-),C8H5NO2,HMDB0006779,['hmdb40_kegg_H_F_K_Na'],"Indole-5,6-quinone"
160,146.0458,4.29E-05,-H(-),C5H9NO4,HMDB0000148,['hmdb40_kegg_H_F_K_Na'],L-Glutamic acid
161,146.061,0.0001751,-H(-),C9H9NO,HMDB0005785,['hmdb40_kegg_H_F_K_Na'],Indole-3-carbinol
162,146.0813,0.0009533,-H(-),C6H13NO3,HMDB0029449,['hmdb40_kegg_H_F_K_Na'],"(2R,3R,4R)-2-Amino-4-hydroxy-3-methylpentanoic acid"
163,147.0302,-0.0003035,-H(-),C5H8O5,HMDB0000426,['hmdb40_kegg_H_F_K_Na'],Citramalic acid
164,147.0455,-0.0003063,-H(-),C9H8O2,HMDB0000567,['hmdb40_kegg_H_F_K_Na'],Cinnamic acid
165,147.0814,0.0001391,-H(-),C10H12O,HMDB0002214,['hmdb40_kegg_H_F_K_Na'],Cuminaldehyde
166,148.0434,0.0004094,-H(-),C5H11NO2S,HMDB0000696,['hmdb40_kegg_H_F_K_Na'],L-Methionine
167,148.063,-0.0001125,-H(-),C6H7N5,HMDB0002099,['hmdb40_kegg_H_F_K_Na'],6-Methyladenine
168,148.9911,0.0002766,-H(-),C4H6O4S,HMDB0042032,['hmdb40_kegg_H_F_K_Na'],Thiodiacetic acid
169,149.0099,-0.0007199,-H(-),C4H6O6,HMDB0000956,['hmdb40_kegg_H_F_K_Na'],Tartaric acid
170,149.097,0.0001511,-H(-),C10H14O,HMDB0001878,['hmdb40_kegg_H_F_K_Na'],Thymol
171,149.1089,-0.0004725,-H(-),C9H14N2,HMDB0031841,['hmdb40_kegg_H_F_K_Na'],"2,5-Dimethyl-3-propylpyrazine"
172,150.0562,-0.0001743,-H(-),C8H9NO2,HMDB0001859,['hmdb40_kegg_H_F_K_Na'],Acetaminophen
173,151.0259,0.0002417,-H(-),C5H4N4O2,HMDB0000292,['hmdb40_kegg_H_F_K_Na'],Xanthine
174,151.04,6.23E-05,-H(-),C8H8O3,HMDB0000020,['hmdb40_kegg_H_F_K_Na'],p-Hydroxyphenylacetic acid
175,151.0759,0.0006017,-H(-),C9H12O2,HMDB0032132,['hmdb40_kegg_H_F_K_Na'],"2-Isopropyl-1,4-benzenediol"
176,152.011,0.0008394,-H(-),C3H8NO4P,NA,['hmdb40_kegg_H_F_K_Na'],N-Acetylgalactosamine
177,152.035,0.0002993,-H(-),C7H7NO3,HMDB0001476,['hmdb40_kegg_H_F_K_Na'],3-Hydroxyanthranilic acid
178,152.0716,5.37E-05,-H(-),C8H11NO2,HMDB0000073,['hmdb40_kegg_H_F_K_Na'],Dopamine
179,153.0194,-0.0001081,-H(-),C7H6O4,HMDB0000152,['hmdb40_kegg_H_F_K_Na'],Gentisic acid
180,153.093,-0.0008883,-H(-),C9H14O2,HMDB0031302,['hmdb40_kegg_H_F_K_Na'],Methyl 2-octynoate
181,154.0501,0.0008593,-H(-),C7H9NO3,NA,['hmdb40_kegg_H_F_K_Na'],NA
182,154.0623,-0.0001203,-H(-),C6H9N3O2,HMDB0000177,['hmdb40_kegg_H_F_K_Na'],L-Histidine
183,154.9133,-0.0009867,-H(-),C2H4S4,HMDB0031185,['hmdb40_kegg_H_F_K_Na'],"1,2,4,5-Tetrathiane"
184,155.0015,0.0004822,-H(-),C3H8O5S,NA,['hmdb40_kegg_H_F_K_Na'],NA
185,155.0099,-9.31E-05,-H(-),C5H4N2O4,HMDB0000226,['hmdb40_kegg_H_F_K_Na'],Orotic acid
186,155.0124,-0.000954,-H(-),C3H9O5P,NA,['hmdb40_kegg_H_F_K_Na'],NA
187,155.0463,-0.0001307,-H(-),C6H8N2O3,HMDB0000544,['hmdb40_kegg_H_F_K_Na'],5-Hydroxymethyl-4-methyluracil
188,155.0568,0.0006527,-H(-),C5H8N4O2,NA,['hmdb40_kegg_H_F_K_Na'],NA
189,155.0723,-0.0009097,-H(-),C8H12O3,HMDB0031101,['hmdb40_kegg_H_F_K_Na'],"8-Hydroxy-5,6-octadienoic acid"
190,155.0865,0.0001265,-H(-),C12H12,HMDB0059764,['hmdb40_kegg_H_F_K_Na'],"2,6-Dimethyl-naphtalene"
191,155.1075,0.0002067,-H(-),C9H16O2,HMDB0004362,['hmdb40_kegg_H_F_K_Na'],4-Hydroxynonenal
192,156.0303,-0.0001021,-H(-),C6H7NO4,HMDB0001241,['hmdb40_kegg_H_F_K_Na'],2-Aminomuconic acid
193,157.0138,0.0004095,-H(-),C6H6O5,HMDB0031210,['hmdb40_kegg_H_F_K_Na'],Zymonic acid
194,157.0508,-0.0001511,-H(-),C7H10O4,HMDB0000635,['hmdb40_kegg_H_F_K_Na'],Succinylacetone
195,157.0872,-0.0001487,-H(-),C8H14O3,HMDB0000451,['hmdb40_kegg_H_F_K_Na'],cis-4-Hydroxycyclohexylacetic acid
196,157.1234,-2.30E-06,-H(-),C9H18O2,HMDB0000798,['hmdb40_kegg_H_F_K_Na'],Oenanthic ether
197,158.0821,0.0001983,-H(-),C7H13NO3,HMDB0000339,['hmdb40_kegg_H_F_K_Na'],2-Methylbutyrylglycine
198,159.0297,0.0001645,-H(-),C6H8O5,HMDB0000225,['hmdb40_kegg_H_F_K_Na'],Oxoadipic acid
199,159.0664,-9.51E-05,-H(-),C7H12O4,HMDB0000555,['hmdb40_kegg_H_F_K_Na'],3-Methyladipic acid
200,159.0804,0.0011011,-H(-),C11H12O,HMDB0031567,['hmdb40_kegg_H_F_K_Na'],3-Methyl-4-phenyl-3-buten-2-one
201,159.0926,0.0001995,-H(-),C10H12N2,HMDB0000303,['hmdb40_kegg_H_F_K_Na'],Tryptamine
202,159.1029,-0.0002657,-H(-),C8H16O3,HMDB0000486,['hmdb40_kegg_H_F_K_Na'],7-Hydroxyoctanoic acid
203,159.1145,-0.0005563,-H(-),C7H16N2O2,HMDB0002038,['hmdb40_kegg_H_F_K_Na'],N(6)-Methyllysine
204,160.0405,-0.0001053,-H(-),C9H7NO2,HMDB0002285,['hmdb40_kegg_H_F_K_Na'],2-Indolecarboxylic acid
205,160.0616,-4.21E-05,-H(-),C6H11NO4,HMDB0000510,['hmdb40_kegg_H_F_K_Na'],Aminoadipic acid
206,161.024,0.0004433,-H(-),C9H6O3,HMDB0002149,['hmdb40_kegg_H_F_K_Na'],3 Hydroxycoumarin
207,161.0458,-0.0002465,-H(-),C6H10O5,HMDB0000321,['hmdb40_kegg_H_F_K_Na'],2-Hydroxyadipic acid
208,161.0616,-0.0008183,-H(-),C10H10O2,HMDB0002333,['hmdb40_kegg_H_F_K_Na'],"cis-1,2-Dihydronaphthalene-1,2-diol"
209,161.0938,-0.0006437,-H(-),C6H14N2O3,HMDB0000450,['hmdb40_kegg_H_F_K_Na'],5-Hydroxylysine
210,161.9875,-0.0008814,-H(-),C4H5NO4S,HMDB0033585,['hmdb40_kegg_H_F_K_Na'],Acesulfame
